NEW_COD_STUDENT,YEAR,SEMESTER,Course_encode,COURSE_NAME,COURSE_ID
167,2001,1T,580 137 65 416 428,DERECHO II EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL,FIEC04341 ICF00463 ICHE00877 ICM00604 ICM00646
167,2001,2T,580 138 643,DERECHO II TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA,FIEC04341 ICF00489 ICM00653
167,2002,2T,168 147 197 788 144,INGLƒS BçSICO A TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO B ECOL.EDUC.AMB. EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICHE00885 ICM00166 FIEC01735 FIEC03012 FIEC03426
167,2003,1T,297 147 197 788 144,PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO B ECOL.EDUC.AMB. EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICM00158 ICM00166 FIEC01735 FIEC03012 FIEC03426
167,2003,2T,147 197 1569 899 144,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO B SISTEMAS DE INFORMACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICM00166 FIEC01735 FIEC04366 FIEC04374 FIEC03426
167,2004,1T,461 1569 899 1076 216,ADM. RURAL Y COMERCIALIZACIîN SISTEMAS DE INFORMACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGLƒS AVANZADO A,FIEC00299 FIEC04366 FIEC04374 FIEC00075 FIEC01800
167,2004,2T,297 193 461 787 1076,PATRIMONIO CULTURAL PREHISPçNICO INGLƒS AVANZADO B ADM. RURAL Y COMERCIALIZACIîN TEC.EXP.ORAL Y ESCR. TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.),ICM00158 ICQ00018 FIEC00299 FIEC01552 FIEC00075
167,2005,1T,1350 787 463 462 292 328,CULTIVO DE PLANCTON TEC.EXP.ORAL Y ESCR. MARKETING ESTRATEGICO MOD:EXTENS.RURAL Y COOPERAT. TEORêA DEL ARTE TEORêA DEL ARTE,FIEC04390 FIEC01552 FIEC03319 FIEC00745 FIEC01099 FIEC04382
167,2005,2T,397 18 16,INGENIERêA SANITARIA II DISE„O PARA MANUFACTURA LOGêSTICA,ICHE01065 FIEC02097 FIEC01578
167,2006,1T,18 227 17 1853 631,DISE„O PARA MANUFACTURA CONTABILIDAD I (1998-3) PLANEAC.RECURSOS MANUFACTURA (IAPI) PROTECCIONES ELECTRICA (1998) RECUPERACION MEJORADA,FIEC02097 FIEC05553 FIEC05645 FIEC05561 ICHE03541
167,2006,2T,168 787 227 15 1024,INGLƒS BçSICO A TEC.EXP.ORAL Y ESCR. CONTABILIDAD I (1998-3) PRODUCCIîN II (1997) HERRAMIENTAS DE COLABORACIîN DIGITAL,ICHE00885 FIEC01552 FIEC05553 FIEC05546 ICHE00612
167,2007,1T,1638 15 328 986 247,INGLƒS AVANZADO A PRODUCCIîN II (1997) TEORêA DEL ARTE GEOGRAFêA FêSICA Y AMBIENTAL TRANSFERENCIA DE CALOR II,FIEC03046 FIEC05546 FIEC04382 FIEC05355 FMAR04093
167,2007,2T,1567 154 807 1639 1505 1326,ECOLOGêA Y EDUCACIîN AMBIENTAL (B) DISE„O Y CONTROL DE EMPAQUE ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS BçSICO B ECOLOGêA Y EDUCACIîN AMBIENTAL (B) DISE„O GRçFICO Y TOPOGRAFêA,FIEC03459 FIEC05306 FIEC01545 FIEC03053 FIEC05884 ICHE03707
168,2000,1T,898 137 148 426 722,EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04358 ICF00463 ICF00471 ICM00216 ICM00901
168,2000,2T,580 65 426 416 722 193,DERECHO II INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I INGLƒS AVANZADO B,FIEC04341 ICHE00877 ICM00216 ICM00604 ICM00901 ICQ00018
168,2001,1T,138 168 643 788 397,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO A RECUPERACION MEJORADA ECOL.EDUC.AMB. INGENIERêA SANITARIA II,ICF00489 ICHE00885 ICM00653 FIEC03012 ICHE01065
168,2001,2T,172 147 197 1568 144,INGLƒS BçSICO B TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO B SISTEMAS DE INFORMACIîN EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICHE01438 ICM00166 FIEC01735 FIEC05066 FIEC03426
168,2002,1T,461 899 787 1076 216 328,ADM. RURAL Y COMERCIALIZACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGLƒS AVANZADO A TEORêA DEL ARTE,FIEC00299 FIEC04374 FIEC01552 FIEC00075 FIEC01800 FIEC04382
168,2002,2T,281 461 1350 787 1076 16,TEORêA DEL ARTE ADM. RURAL Y COMERCIALIZACIîN CULTIVO DE PLANCTON TEC.EXP.ORAL Y ESCR. TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) LOGêSTICA,ICHE01537 FIEC00299 FIEC04390 FIEC01552 FIEC00075 FIEC01578
168,2003,1T,463 1567 462 292 1060 1293,MARKETING ESTRATEGICO ECOLOGêA Y EDUCACIîN AMBIENTAL (B) MOD:EXTENS.RURAL Y COOPERAT. TEORêA DEL ARTE DIBUJO ARTêSTICO AUDIT. SIST. INFORMATICO I,FIEC03319 FIEC03459 FIEC00745 FIEC01099 FIEC03061 FIEC03079
168,2003,2T,195 1638 1255 1293 399,INGLƒS AVANZADO B INGLƒS AVANZADO A LABORATORIO DE CONTROLES  INDUSTRIALES ELƒCTRICOS AUDIT. SIST. INFORMATICO I INGENIERêA SANITARIA II,ICHE02675 FIEC03046 FIEC02121 FIEC03079 ICHE01545
168,2004,1T,276 155 807 1639 1785 986,TEORêA DEL ARTE QUêMICA ORGçNICA II ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS BçSICO B ANçLISIS NUMƒRICO (F) GEOGRAFêA FêSICA Y AMBIENTAL,ICHE01693 FIEC02105 FIEC01545 FIEC03053 FIEC04275 FIEC05355
168,2004,2T,1372 18 388 1785,FISIOLOG.CRUST.MOLUSCOS DISE„O PARA MANUFACTURA INGENIERêA SANITARIA II ANçLISIS NUMƒRICO (F),ICHE03533 FIEC02097 FIEC05579 FIEC04275
259,2000,1T,898 137 148 426 722,EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04358 ICF00463 ICF00471 ICM00216 ICM00901
259,2000,2T,580 138 65 416 428,DERECHO II TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL,FIEC04341 ICF00489 ICHE00877 ICM00604 ICM00646
259,2001,1T,168 297 643 193 788,INGLƒS BçSICO A PATRIMONIO CULTURAL PREHISPçNICO RECUPERACION MEJORADA INGLƒS AVANZADO B ECOL.EDUC.AMB.,ICHE00885 ICM00158 ICM00653 ICQ00018 FIEC03012
259,2001,2T,172 197 1084 397 1568 144,INGLƒS BçSICO B INGLƒS BçSICO B TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGENIERêA SANITARIA II SISTEMAS DE INFORMACIîN EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICHE01438 FIEC01735 FIEC01776 ICHE01065 FIEC05066 FIEC03426
259,2002,1T,195 281 461 899 787 328,INGLƒS AVANZADO B TEORêA DEL ARTE ADM. RURAL Y COMERCIALIZACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. TEORêA DEL ARTE,ICHE02675 ICHE01537 FIEC00299 FIEC04374 FIEC01552 FIEC04382
259,2002,2T,463 1567 462 292 1060 16,MARKETING ESTRATEGICO ECOLOGêA Y EDUCACIîN AMBIENTAL (B) MOD:EXTENS.RURAL Y COOPERAT. TEORêA DEL ARTE DIBUJO ARTêSTICO LOGêSTICA,FIEC03319 FIEC03459 FIEC00745 FIEC01099 FIEC03061 FIEC01578
259,2003,1T,18 1638 1255 460 1293,DISE„O PARA MANUFACTURA INGLƒS AVANZADO A LABORATORIO DE CONTROLES  INDUSTRIALES ELƒCTRICOS MOD:EXTENS.RURAL Y COOPERAT. AUDIT. SIST. INFORMATICO I,FIEC02097 FIEC03046 FIEC02121 FIEC00679 FIEC03079
259,2003,2T,155 1639 1785 986 399,QUêMICA ORGçNICA II INGLƒS BçSICO B ANçLISIS NUMƒRICO (F) GEOGRAFêA FêSICA Y AMBIENTAL INGENIERêA SANITARIA II,FIEC02105 FIEC03053 FIEC04275 FIEC05355 ICHE01545
259,2004,1T,1350 276 807,CULTIVO DE PLANCTON TEORêA DEL ARTE ECOLOGêA Y EDUCACIîN AMBIENTAL (B),FIEC04390 ICHE01693 FIEC01545
272,2000,1T,137 148 426 193,EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL INGLƒS AVANZADO B,ICF00463 ICF00471 ICM00216 ICQ00018
272,2000,2T,580 898 416 428,DERECHO II EDUCACIîN MUSICAL COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL,FIEC04341 FIEC04358 ICM00604 ICM00646
272,2001,1T,138 65 297 147 643 722,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INVESTIGACIîN DE OPERACIONES II PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA FIS.EXPERIMENTAL I,ICF00489 ICHE00877 ICM00158 ICM00166 ICM00653 ICM00901
272,2001,2T,168 147 197 788 397,INGLƒS BçSICO A TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO B ECOL.EDUC.AMB. INGENIERêA SANITARIA II,ICHE00885 ICM00166 FIEC01735 FIEC03012 ICHE01065
272,2002,1T,1084 461 1568 1076 216 328,TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) ADM. RURAL Y COMERCIALIZACIîN SISTEMAS DE INFORMACIîN TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGLƒS AVANZADO A TEORêA DEL ARTE,FIEC01776 FIEC00299 FIEC05066 FIEC00075 FIEC01800 FIEC04382
272,2002,2T,899 787 463 462 292 16,COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. MARKETING ESTRATEGICO MOD:EXTENS.RURAL Y COOPERAT. TEORêA DEL ARTE LOGêSTICA,FIEC04374 FIEC01552 FIEC03319 FIEC00745 FIEC01099 FIEC01578
272,2003,1T,1567 1060 1293 1857,ECOLOGêA Y EDUCACIîN AMBIENTAL (B) DIBUJO ARTêSTICO AUDIT. SIST. INFORMATICO I PROYECTOS Y MERCADEO,FIEC03459 FIEC03061 FIEC03079 FIEC03095
272,2003,2T,1638 1255 460,INGLƒS AVANZADO A LABORATORIO DE CONTROLES  INDUSTRIALES ELƒCTRICOS MOD:EXTENS.RURAL Y COOPERAT.,FIEC03046 FIEC02121 FIEC00679
272,2004,1T,276 807 1639 1785 986,TEORêA DEL ARTE ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS BçSICO B ANçLISIS NUMƒRICO (F) GEOGRAFêA FêSICA Y AMBIENTAL,ICHE01693 FIEC01545 FIEC03053 FIEC04275 FIEC05355
272,2004,2T,195 18 155 807,INGLƒS AVANZADO B DISE„O PARA MANUFACTURA QUêMICA ORGçNICA II ECOLOGêA Y EDUCACIîN AMBIENTAL (B),ICHE02675 FIEC02097 FIEC02105 FIEC01545
272,2005,1T,631 399 531,RECUPERACION MEJORADA INGENIERêA SANITARIA II FUNDAMENTOS DE AUDITORêA,ICHE03541 ICHE01545 ICHE01420
272,2005,2T,15 1505 37,PRODUCCIîN II (1997) ECOLOGêA Y EDUCACIîN AMBIENTAL (B) LOGêSTICA I,FIEC05546 FIEC05884 CELEX00067
272,2006,1T,154 1853 40,DISE„O Y CONTROL DE EMPAQUE PROTECCIONES ELECTRICA (1998) LOGêSTICA I,FIEC05306 FIEC05561 CELEX00083
306,2000,1T,580 898 137 148 426 722,DERECHO II EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04341 FIEC04358 ICF00463 ICF00471 ICM00216 ICM00901
306,2000,2T,137 65 426 193 788,EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL INGLƒS AVANZADO B ECOL.EDUC.AMB.,ICF00463 ICHE00877 ICM00216 ICQ00018 FIEC03012
306,2001,1T,138 168 416 428,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO A COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL,ICF00489 ICHE00885 ICM00604 ICM00646
306,2001,2T,172 297 147 643 1568,INGLƒS BçSICO B PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA SISTEMAS DE INFORMACIîN,ICHE01438 ICM00158 ICM00166 ICM00653 FIEC05066
306,2002,1T,197 1084 899 787 397,INGLƒS BçSICO B TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. INGENIERêA SANITARIA II,FIEC01735 FIEC01776 FIEC04374 FIEC01552 ICHE01065
306,2002,2T,195 197 1567 1060 399,INGLƒS AVANZADO B INGLƒS BçSICO B ECOLOGêA Y EDUCACIîN AMBIENTAL (B) DIBUJO ARTêSTICO INGENIERêA SANITARIA II,ICHE02675 FIEC01735 FIEC03459 FIEC03061 ICHE01545
306,2003,1T,281 461 276 1638 1255,TEORêA DEL ARTE ADM. RURAL Y COMERCIALIZACIîN TEORêA DEL ARTE INGLƒS AVANZADO A LABORATORIO DE CONTROLES  INDUSTRIALES ELƒCTRICOS,ICHE01537 FIEC00299 ICHE01693 FIEC03046 FIEC02121
306,2003,2T,84 463 1639 531,SISTEMAS DISTRIBUIDOS MARKETING ESTRATEGICO INGLƒS BçSICO B FUNDAMENTOS DE AUDITORêA,ICHE02089 FIEC03319 FIEC03053 ICHE01420
306,2004,1T,62 18 155 807 986,INVESTIGACIîN DE OPERACIONES I DISE„O PARA MANUFACTURA QUêMICA ORGçNICA II ECOLOGêA Y EDUCACIîN AMBIENTAL (B) GEOGRAFêA FêSICA Y AMBIENTAL,ICHE01966 FIEC02097 FIEC02105 FIEC01545 FIEC05355
306,2004,2T,1350 275 14 15 1913,CULTIVO DE PLANCTON TEORêA DEL ARTE INGENIERêA DE MƒTODOS PRODUCCIîN II (1997) OLEOHIDRAULICA,FIEC04390 ICHE02709 FIEC05314 FIEC05546 FIEC04333
306,2005,1T,154 156 631,DISE„O Y CONTROL DE EMPAQUE LAB.DE QUêMICA ORGçNICA II RECUPERACION MEJORADA,FIEC05306 FIEC05322 ICHE03541
322,2000,1T,137 148 426 151 193,EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS AVANZADO B,ICF00463 ICF00471 ICM00216 ICM00794 ICQ00018
322,2000,2T,65 426 416 895,INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL EDUCACIîN MUSICAL,ICHE00877 ICM00216 ICM00604 ICQ00026
322,2001,1T,138 1189 416 428,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA LABORATORIO DE REDES ELƒCTRICAS COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL,ICF00489 ICF00505 ICM00604 ICM00646
322,2002,2T,215 297 147 643,INGLƒS AVANZADO B PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA,ICF00497 ICM00158 ICM00166 ICM00653
322,2003,1T,297 147 643,PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA,ICM00158 ICM00166 ICM00653
322,2003,2T,898 643 722,EDUCACIîN MUSICAL RECUPERACION MEJORADA FIS.EXPERIMENTAL I,FIEC04358 ICM00653 ICM00901
322,2004,1T,580 197 397,DERECHO II INGLƒS BçSICO B INGENIERêA SANITARIA II,FIEC04341 FIEC01735 ICHE01065
322,2004,2T,788 461 388 328,ECOL.EDUC.AMB. ADM. RURAL Y COMERCIALIZACIîN INGENIERêA SANITARIA II TEORêA DEL ARTE,FIEC03012 FIEC00299 FIEC05579 FIEC04382
322,2005,1T,788 461 328,ECOL.EDUC.AMB. ADM. RURAL Y COMERCIALIZACIîN TEORêA DEL ARTE,FIEC03012 FIEC00299 FIEC04382
322,2005,2T,463 1568 16 218 1425,MARKETING ESTRATEGICO SISTEMAS DE INFORMACIîN LOGêSTICA CUENTAS NACIONALES HERRAMIENTAS DE COLABORACIîN DIGITAL,FIEC03319 FIEC05066 FIEC01578 FIEC04622 FIEC05439
322,2006,1T,787 17 247 253 1491,TEC.EXP.ORAL Y ESCR. PLANEAC.RECURSOS MANUFACTURA (IAPI) TRANSFERENCIA DE CALOR II SISTEMAS TƒRMICOS I BIOLOGêA MARINA,FIEC01552 FIEC05645 FMAR04093 FIEC05231 FIEC05413
322,2006,2T,195 227 247 1421,INGLƒS AVANZADO B CONTABILIDAD I (1998-3) TRANSFERENCIA DE CALOR II HERRAMIENTAS DE COLABORACIîN DIGITAL,ICHE02675 FIEC05553 FMAR04093 FIEC05405
322,2007,1T,18 1567 1638 986 1422 446,DISE„O PARA MANUFACTURA ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS AVANZADO A GEOGRAFêA FêSICA Y AMBIENTAL HERRAMIENTAS DE COLABORACIîN DIGITAL PSICOLOGêA INDUSTRIAL,FIEC02097 FIEC03459 FIEC03046 FIEC05355 FIEC05421 FIEC05603
322,2007,2T,807 1639 936 1149 1423,ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS BçSICO B GEOQUêMICA ANçLISIS DE REDES ELƒCTRICAS II HERRAMIENTAS DE COLABORACIîN DIGITAL,FIEC01545 FIEC03053 FIEC05488 FIEC05447 FIEC05470
322,2008,1T,18 631 1505 1424,DISE„O PARA MANUFACTURA RECUPERACION MEJORADA ECOLOGêA Y EDUCACIîN AMBIENTAL (B) HERRAMIENTAS DE COLABORACIîN DIGITAL,FIEC02097 ICHE03541 FIEC05884 FIEC05462
341,2000,1T,580 898 137 148 426 722,DERECHO II EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04341 FIEC04358 ICF00463 ICF00471 ICM00216 ICM00901
341,2000,2T,580 148 65 426 416 193,DERECHO II TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL INGLƒS AVANZADO B,FIEC04341 ICF00471 ICHE00877 ICM00216 ICM00604 ICQ00018
341,2001,1T,138 168 428 788 397,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO A COMPORTAMIENTO ORGANIZACIONAL ECOL.EDUC.AMB. INGENIERêA SANITARIA II,ICF00489 ICHE00885 ICM00646 FIEC03012 ICHE01065
341,2001,2T,65 297 147 643 1568,INVESTIGACIîN DE OPERACIONES II PATRIMONIO CULTURAL PREHISPçNICO TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA SISTEMAS DE INFORMACIîN,ICHE00877 ICM00158 ICM00166 ICM00653 FIEC05066
341,2002,1T,197 1084 899 787 144,INGLƒS BçSICO B TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),FIEC01735 FIEC01776 FIEC04374 FIEC01552 FIEC03426
341,2002,2T,461 1567 1076 216 1060 328,ADM. RURAL Y COMERCIALIZACIîN ECOLOGêA Y EDUCACIîN AMBIENTAL (B) TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGLƒS AVANZADO A DIBUJO ARTêSTICO TEORêA DEL ARTE,FIEC00299 FIEC03459 FIEC00075 FIEC01800 FIEC03061 FIEC04382
